username,id,displayname,followersCount,friendsCount,location
RahulSinhaBJP,3309660205,Rahul Sinha ● রাহুল সিনহা,86637,1266,পশ্চিমবঙ্গ
SushmaSwaraj,219617448,Sushma Swaraj,12950745,0,"New Delhi, India"
AjayTamtaBJP,749829178594193408,Ajay Tamta,24120,125,"Delhi, India"
AAPNareshBalyan,3283582405,MLA Naresh Balyan,33835,1248,
vikaskyogi,846897578,Vikas Yogi,56374,493,New Delhi
cpjoshiBJP,2676090294,C. P. Joshi,46498,364,Chittorgarh
KalrajMishra,254937160,कलराज मिश्र (Kalraj Mishra),337921,5,"Uttar Pradesh, India"
JPNadda,2990611686,Jagat Prakash Nadda,2774137,220,New Delhi
AshwiniBJP,2228272268,Ashwini Upadhyay,1659,161,"New Delhi, India"
VinodChavdaBJP,2309409103,Vinod Chavda 🇮🇳,120401,1596,"Bhuj, India"
ShahnawazBJP,350128848,Syed Shahnawaz Hussain,1918294,1057,"New Delhi, India"
mepratap,113568312,Pratap Simha,361243,926,Mysuru-Kodagu(Coorg) 
Virenderbjp,741220385773883392,Virender Kashyap,5012,331,Shimla
BJPSanjayJoshi,1664992976,Sanjay Vinayak Joshi,58115,1240,India
mukeshpatelmla,409218445,Mukesh Patel,19073,1385,Surat Gujarat
AjitSinghRathi,798149658283388928,Ajit Singh Rathi,2168,39,"Dehradun, India"
rakeshshahMLA,1210663754,Rakesh Shah,15251,102,"Ahmadabad City, India"
VijayGoelBJP,459849561,Vijay Goel,548349,286,72 Babar Road Bengali market .
rajnathsingh,1346439824,Rajnath Singh,21892919,525,
IYC,16293020,Youth Congress,1213558,585,India
Sunil_Deodhar,735095544,Sunil Deodhar,211697,1205,New Delhi
GaneshSingh_in,2526662419,Ganesh Singh,46669,294,"Satna, Madhya Pradesh, India"
kishanreddybjp,160509668,G Kishan Reddy,307327,764,"Hyderabad, Telangana."
BJP4Gujarat,385909720,BJP Gujarat,1543114,153,"Gandhinagar,Gujarat"
NarinderBragta,347822605,Narinder Bragta,4361,88,Shimla
rohanrgupta,336088096,Rohan Gupta,274772,1864,
PonnaarrBJP,861656581,Pon Radhakrishnan,299849,556,New Delhi/Kanniyakumari
sachin_inc,289314809,Sachin Sawant सचिन सावंत,114425,807,Mumbai
nkishoreyadav,1722409230,Nand Kishore Yadav,268237,288,patna
mansukhmandviya,432697203,Dr Mansukh Mandaviya,450434,718,"Gandhinagar, Delhi"
bjpdilippatel,1608548923,Dilip Patel 🇮🇳,21642,872,"Karamsad, Anand, India"
pranavINC,1610087438,pranav jha,29934,1015,"Jharkhand, India.      "
ChaudhryShankar,1617123242,Shankar Chaudhary,538708,213,"Gujarat, India"
SatyaPalJain,220972363,Satya Pal Jain,9613,981,Chandigarh
dpradhanbjp,1897514666,Dharmendra Pradhan,1717366,1703,Delhi/Odisha/India
Hemaram_INC,1003201143000817664,Hemaram Choudhary,113431,96,"Gudamalani, India"
BJP4Mizoram,758217962176282624,BJP Mizoram,31519,46,
BJP4Haryana,287602729,Haryana BJP,233604,209,"Haryana, India"
PankajSinghBJP,2251647198,Pankaj Singh,636049,323,India
BJPLive,486711396,BJP LIVE,729785,199,
BJP4TamilNadu,396707695,BJP Tamilnadu,450532,253,"Tamil Nadu, India"
aapkaprithvi,4036602132,Prithvi Reddy,23702,35,"Karnataka, India"
MPRakeshSingh,2789633743,Rakesh Singh,234405,464,"Jabalpur, India"
pradipsinhbjp,431469382,Pradipsinh Vaghela,376473,2578,Ahmedabad
BJP4CGState,1698414426,BJP Chhattisgarh,119457,165,
jhaprabhatbjp,2940878702,Prabhat Jha,145481,354,Delhi
girirajsinghbjp,1642669674,Shandilya Giriraj Singh,1661369,1304,"Bihar, India"
CHARANJITCHANNI,213223745,Charanjit S  Channi,240735,41,MLA SHRI CHAMKAUR SAHIB PUNJAB
Tarunvijay,13508182,Tarun Vijay தருண் விஜய் भारत के वीर सैनिकों की जय,148332,1948,Dehradun/Delhi. 
AdilKhanAAP,414588379,Adil Ahmad Khan,10737,406,"New Delhi, India"
LKBajpaiBJP,1366219417,Dr. Laxmikant Bajpai,35259,286,"Meerut, India"
SwatiJaiHind,281902422,Swati Maliwal,408006,420,"New Delhi, India"
dangarbharat,152163609,Dr. Bharat Dangar,42747,523,"Vadodara, Gujarat, India"
BJP4Assam,1858339356,BJP Assam Pradesh,145188,187,"Hengrabari, Guwahati, Assam"
RadhamohanBJP,2213932272,Radha Mohan Singh,423915,263,India
KiritSomaiya,348988523,Kirit Somaiya,336528,23,"Mumbai, Maharashtra"
Saurabh_MLAgk,2890506943,Saurabh Bharadwaj,184871,270,"Greater Kailash,New Delhi"
digvijaya_28,371730289,digvijaya singh,1250560,127,Delhi
KumarMehraulia,1257200615781838849,Rohit Kumar Mehraulia MLA,4018,311,
bjpsamvad,194017030,भाजपा सम्वाद,318464,417,
sunilbansalbjp,746964130637066241,Sunil Bansal,1100149,317,"Lucknow, India"
DarshanaJardosh,143388401,Darshana Jardosh,134102,540,"Surat, Gujarat, India"
jitupatwari,223080911,Jitu Patwari,915566,297,"Indore, Madhya Pradesh"
AapsaritaSingh,2241177373,Sarita Singh,33591,217,Delhi
rohit_chahal,117110269,ROHIT CHAHAL,86956,4689,"Delhi, India, Bharat "
BJP4Delhi,337065278,BJP Delhi,1103664,72,New Delhi
bjpcpsingh,2187991476,CP Singh,33153,149,Ranchi
ipathak25,880641566,Durgesh Pathak,92135,234,Delhi
