username,id,displayname,followersCount,friendsCount,location
BJP4Bihar,758215424622391296,BJP Bihar,363102,67,
DilipGandhiMP,2175963973,Dilip Gandhi,3586,463,Ahmednagar
gssjodhpur,2371536685,Gajendra Singh Shekhawat,456960,538,"Jodhpur, Rajasthan"
BJP4Rajasthan,1320141312,BJP Rajasthan,718880,126,"Jaipur, India"
kuljeetschahal,3236480554,Kuljeet Singh Chahal 🇮🇳,96165,1131,"New Delhi, India"
krishnakhopde,882811280599519232,Krishna Khopde,6497,149,"Nagpur, India"
fskulaste,710127509946236928,Faggan Singh Kulaste,31744,798,India
SunilPDeshmukh,310807353,Dr. Sunil Deshmukh,6986,56,"Amravati, Maharashtra (India)"
BJP4Sikkim,758219947067731968,BJP Sikkim,51170,51,
p_sahibsingh,477500631,Parvesh Sahib Singh,217760,116,"New Delhi, India"
sanghaviharsh,171355391,Harsh Sanghavi,498404,3190,Gujarat
bjpramswaroop,2418493507,Ram Swaroop Sharma,27321,112,India
AshokGoelBJP,202552918,Ashok Goel,56763,2165,"New Delhi, India"
mangalpandeybjp,1403858670,Mangal Pandey,465987,318,Patna
SanjayAzadSln,328941811,Sanjay Singh AAP,1869561,460,Delhi / Sultanpur UP
AnilSole1,777049636469149696,Prof Anil Sole,5658,168,"Mumbai, India Nagpur"
yadavakhilesh,57948579,Akhilesh Yadav,16201011,23,"Lucknow, India"
blsanthosh,1065563383,B L Santhosh,374650,331,"New Delhi, India"
BJP4Karnataka,25123615,BJP Karnataka,453850,168,"Karnataka, India"
ChDadaPatil,2760043614,Chandrakant Patil,230482,221,"Maharashtra, India"
Sukhjinder_INC,1139588035278860288,Sukhjinder Singh Randhawa,27462,18,"डेरा बाबा नानक, भारत"
Manekagandhibjp,2766064128,Maneka Sanjay Gandhi,261819,112,"New Delhi, India"
byadavbjp,391901721,Bhupender Yadav,489668,936,New Delhi
anupamtr,107680763,Anupam Trivedi,15221,1405,Dehradun 
DrSubhashMoS,762611668681568257,Dr. Subhash Bhamre,44770,1265,New Delhi
VandanaSsingh,356819503,Vandana Singh,46195,493,"Bulandshahar- New Delhi, India"
msisodia,30417501,Manish Sisodia,3091600,290,Delhi
SunilSingh_BJP,2787891476,Sunil Kumar Singh सुनील कुमार सिंह,14411,656,"Chatra, Jharkhand"
BhatkhalkarA,726417797048373248,Atul Bhatkhalkar,81577,381,"Kandivali East, Mumbai"
madhurimisal,1667857622,Madhuri Misal,23817,949,"Pune,India"
BJP4MP,1618490684,BJP MadhyaPradesh,952173,256,"Bhopal, MadhyaPradesh"
BJP4Meghalaya,758217021918179328,BJP Meghalaya,56757,46,
imBhupendrasinh,613537399,Bhupendrasinh Chudasama,477851,473,"Gandhinagar, Gujarat."
Ramlal,2198269460,रामलाल,561569,444,"नई दिल्ली,भारत"
Rajkumari_AAP,927958196173410304,Rajkumari Dhillon,3912,202,Delhi 
PavanRanaRSS,2398991408,Pavan Rana,38005,148,"हिमाचल प्रदेश, भारत"
IYCPunjab,3168378830,Punjab Youth Congress,31824,595,"Chandigarh, India"
swatantrabjp,2231471756,Swatantra Dev Singh,1259695,435,"Lucknow, India"
madankaushikbjp,866986207648940033,Madan Kaushik,32194,292,"Haridwar, India"
BJP4AnN,741171197342187521,BJP Andaman Nicobar,43913,44,
SureshHalwankar,377414975,Suresh Halwankar,7193,380,Ichalkaranji
SBhttachrya,3514100534,SiddharthaBhttachrya,50540,51,"Guwahati, India"
bjpdrmahendra,4678601036,Dr. Mahendra Singh,379888,444,"Lucknow, India"
MSufiSaint,480457324,Dr Sufi M K Chishty,21178,557,"Founder: Ummah TV, UK"
jitu_vaghani,482203628,Jitu Vaghani,472726,632,"Gujarat, India"
PrakashJarwal,2330743303,"Prakash Jarwal, MLA",7160,257,"Tigri, Delhi"
BJP4Keralam,2297438462,BJP KERALAM,99058,86,
BJP4Andhra,3308534123,BJP ANDHRA PRADESH,104845,295,"Andhra Pradesh, India"
drlaxmanbjp,1565619564,Dr K Laxman,67007,337,"Hyderabad, India"
CRPaatil,305603067,C R Paatil,344375,530,"Surat, Gujrat"
AshokNeteMP,838666041416953856,Ashok Nete 🇮🇳,20516,350,"Gadchiroli, New Delhi"
VipulGoelBJP,2754460730,Vipul Goel,44129,502,"Faridabad, Haryana"
MP_Meerut,2281013472,Rajendra Agrawal,30961,233,"Meerut, Uttar Pradesh"
mahendrabhatbjp,2692838006,Mahendra Bhatt MLA,5481,332,pokhari chamoli uttarakhand
BJP4Puducherry,753131004483760129,BJP Puducherry,23885,50,
BJP4Chandigarh,1562806872,BJP Chandigarh,50772,518,"Chandigarh, India"
JaunapuriaSS,2989732699,Sukhbir Jaunapuria,20033,1073,"Rajasthan, India"
rishibagree,147994804,Rishi Bagree,211039,1244,"Kolkata, India"
keshavupadhye,111240477,Keshav Upadhye,30771,303,"Maharashtra, India"
sureshbhattbjp,2245215054,Suresh Bhatt,34872,269,"Dehradun, India"
HRajaBJP,3306088051,H Raja,648092,619,"Chennai, India"
AnanthKumar_BJP,243023355,Ananthkumar,342392,300,Bengaluru
PratyushKanth,2955876798,Pratyush Kanth प्रत्यूष कंठ 🇮🇳,8130,149,"New Delhi, India"
MrsGandhi,85657578,Priti Gandhi - प्रीति गांधी,498588,1579,"Maharashtra, India"
shaileshINC,55993926,Shailesh Trivedi,18606,310,"Raipur, India"
RahulKothariBJP,252111450,Rahul Kothari Bjp,110168,1927,"Bhopal, India"
JoonBhupinder,1165570486878605312,Bhupinder Singh Joon,2282,25,"Bijwasan, New Delhi"
